"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"France",250,41831.805,42037.803,42328.94,42672.812,43045.963,43433.879,43831.475,44242.612,44678.632,45155.921,45688.594,46280.695,46919.371,47571.948,48194.218,48754.817,49238.715,49655.097,50026.522,50387.73,50763.212,51161.64,51572.812,51980.081,52358.648,52691.826,52974.009,53214.788,53431.051,53646.954,53880.143,54135.673,54408.866,54695.692,54988.578,55281.465,55575.215,55870.924,56162.822,56443.567,56708.26,56956.057,57189.616,57412.239,57628.904,57844.501,58057.57,58270.419,58496.138,58751.572,59047.795,59390.72,59774.531,60183.884,60596.691,60996.506,61378.065,61744.596,62098.413,62444.77,62787.427
"Germany",276,68376.002,68713.92,69086.53,69483.349,69897.556,70325.997,70769.436,71232.304,71721.922,72247.225,72814.899,73425.276,74068.738,74724.168,75363.329,75963.7,76518.66,77026.811,77477.619,77860.668,78169.287,78398.25,78549.958,78635.758,78672.415,78673.559,78648.816,78600.404,78526.576,78422.458,78288.577,78124.452,77944.929,77784.306,77686.865,77684.875,77783.439,77974.722,78260.173,78637.382,79098.094,79651.903,80282.985,80926.118,81495.194,81929.441,82200.333,82326.019,82350.467,82341.545,82349.027,82384.256,82432.026,82484.111,82524.343,82540.739,82536.138,82516.297,82475.271,82405.365,82302.465
"Liechtenstein",438,13.757,13.944,14.133,14.34,14.571,14.833,15.127,15.452,15.804,16.176,16.561,16.956,17.362,17.785,18.235,18.717,19.236,19.782,20.335,20.867,21.358,21.799,22.196,22.563,22.922,23.288,23.665,24.048,24.436,24.825,25.213,25.6,25.99,26.377,26.761,27.14,27.511,27.878,28.243,28.611,28.986,29.37,29.76,30.154,30.549,30.941,31.328,31.71,32.09,32.47,32.853,33.239,33.626,34.006,34.365,34.696,34.995,35.266,35.521,35.772,36.032
"Luxembourg",442,296.001,297.212,299.06,301.14,303.172,305,306.598,308.067,309.611,311.508,314.002,317.204,320.992,324.974,328.603,331.505,333.465,334.657,335.573,336.922,339.184,342.56,346.805,351.409,355.635,358.956,361.239,362.669,363.435,363.846,364.158,364.405,364.589,364.897,365.55,366.716,368.467,370.806,373.733,377.218,381.225,385.755,390.778,396.179,401.804,407.522,413.377,419.355,425.216,430.65,435.491,439.509,442.882,446.34,450.888,457.197,465.586,475.714,486.781,497.637,507.448
"Monaco",492,20,19.868,19.846,19.933,20.121,20.396,20.737,21.114,21.496,21.847,22.135,22.343,22.477,22.562,22.643,22.749,22.886,23.046,23.234,23.448,23.689,23.968,24.282,24.605,24.902,25.153,25.341,25.482,25.617,25.802,26.078,26.459,26.93,27.459,28.004,28.533,29.036,29.521,29.99,30.447,30.896,31.33,31.745,32.154,32.574,33.014,33.485,33.974,34.444,34.84,35.126,35.288,35.341,35.323,35.282,35.26,35.267,35.295,35.336,35.377,35.407
"Netherlands",528,10027.047,10148.83,10275.906,10407.381,10542.57,10680.99,10822.38,10966.682,11114.008,11264.566,11418.46,11575.478,11734.901,11895.425,12055.386,12213.435,12368.832,12521.308,12670.558,12816.446,12958.757,13097.251,13231.426,13360.546,13483.746,13600.423,13710.713,13814.863,13912.617,14003.707,14088.274,14166.213,14238.594,14308.217,14378.74,14452.941,14531.566,14614.382,14701.901,14794.378,14891.719,14994.691,15102.709,15212.612,15320.112,15422.165,15517.122,15605.817,15690.705,15775.532,15862.825,15953.446,16045.935,16137.709,16225.091,16305.457,16377.959,16443.483,16503.263,16559.268,16612.988
"Switzerland",756,4668.088,4726.281,4788.955,4851.983,4912.879,4970.798,5026.644,5082.961,5143.629,5213.34,5296.052,5393.334,5502.915,5618.068,5729.362,5829.839,5916.77,5991.515,6056.165,6114.502,6169.124,6221.393,6269.871,6311.231,6340.818,6355.947,6355.012,6340.979,6321.339,6306.326,6303.346,6315.53,6341.096,6376.512,6415.987,6455.375,6493.102,6530.777,6571.061,6617.925,6673.738,6740.104,6814.701,6891.266,6961.228,7018.702,7060.963,7090.483,7112.948,7136.74,7167.908,7207.987,7254.975,7307.078,7361.231,7415.007,7468.35,7521.613,7573.204,7621.211,7664.318
"LATIN AMERICA AND THE CARIBBEAN",904,167368.224,171808.447,176508.726,181415.519,186489.853,191707.177,197058.315,202548.564,208195.387,214024.515,220058.182,226302.632,232737.151,239309.388,245948.631,252604.959,259256.043,265917.63,272624.789,279431.545,286377.144,293466.395,300685.194,308030.919,315496.447,323073.647,330763.339,338559.599,346438.343,354368.441,362326.018,370295.979,378277.612,386278.813,394314.71,402393.418,410515.424,418666.485,426822.547,434952.064,443031.66,451044.539,458992.371,466892.369,474771.931,482647.055,490523.384,498381.932,506184.459,513879.376,521429.117,528823.14,536070.669,543179.099,550163.398,557037.708,563796.28,570442.477,577011.044,583547.331,590082.023
"Caribbean",915,17084.388,17398.604,17731.293,18075.766,18427.623,18784.702,19147.26,19517.812,19900.726,20301.561,20725.04,21172.894,21641.973,22123.434,22605.047,23077.918,23538.064,23987.524,24430.712,24874.821,25324.753,25782.235,26244.445,26706.404,27161.062,27603.706,28032.485,28450.034,28861.594,29274.705,29694.924,30123.635,30559.516,31002.146,31450.226,31902.579,32359.075,32819.433,33281.967,33744.525,34205.183,34663.07,35117.34,35566.121,36007.345,36439.338,36861.043,37272.06,37672.3,38062.048,38441.484,38810.805,39169.743,39517.59,39853.4,40176.829,40487.442,40786.324,41076.529,41362.117,41646.07
"Anguilla",660,5.121,5.297,5.438,5.549,5.635,5.697,5.743,5.777,5.805,5.831,5.863,5.901,5.948,6.001,6.057,6.114,6.171,6.228,6.287,6.344,6.4,6.454,6.506,6.554,6.596,6.63,6.662,6.691,6.713,6.716,6.698,6.651,6.586,6.536,6.551,6.661,6.881,7.197,7.575,7.964,8.332,8.669,8.985,9.277,9.549,9.805,10.036,10.244,10.461,10.727,11.068,11.498,12.003,12.548,13.083,13.574,14.008,14.393,14.737,15.055,15.358
"Antigua and Barbuda",28,46.301,48.316,49.906,51.117,52.002,52.625,53.061,53.393,53.711,54.107,54.657,55.408,56.362,57.472,58.653,59.844,61.032,62.226,63.401,64.528,65.587,66.554,67.419,68.182,68.848,69.42,69.91,70.301,70.533,70.525,70.228,69.639,68.803,67.792,66.701,65.614,64.539,63.51,62.669,62.192,62.202,62.754,63.802,65.238,66.895,68.642,70.45,72.322,74.19,75.985,77.656,79.165,80.507,81.716,82.838,83.916,84.952,85.935,86.881,87.802,88.71
"Aruba",533,38.066,38.263,38.966,40.151,41.765,43.729,45.935,48.244,50.5,52.536,54.209,55.436,56.227,56.698,57.031,57.362,57.714,58.052,58.388,58.725,59.066,59.439,59.849,60.238,60.524,60.654,60.589,60.366,60.108,59.98,60.099,60.57,61.347,62.208,62.833,63.03,62.645,61.83,61.069,61.026,62.147,64.642,68.286,72.573,76.762,80.323,83.069,85.161,86.827,88.442,90.271,92.363,94.596,96.875,99.046,100.996,102.711,104.225,105.526,106.612,107.488
"Bahamas",44,79.088,79.982,81.426,83.368,85.773,88.616,91.89,95.601,99.765,104.405,109.527,115.112,121.09,127.34,133.709,140.063,146.379,152.623,158.644,164.263,169.367,173.875,177.849,181.49,185.091,188.87,192.885,197.09,201.474,205.99,210.6,215.33,220.188,225.083,229.899,234.553,238.989,243.236,247.409,251.671,256.128,260.845,265.761,270.701,275.426,279.774,283.677,287.217,290.571,293.988,297.651,301.606,305.801,310.201,314.739,319.358,324.066,328.861,333.661,338.358,342.877
"Barbados",52,210.995,215.673,219.587,222.747,225.194,226.999,228.265,229.123,229.728,230.248,230.831,231.574,232.49,233.496,234.455,235.271,235.912,236.443,236.974,237.657,238.593,239.841,241.345,242.949,244.433,245.646,246.523,247.128,247.589,248.101,248.796,249.716,250.809,252.017,253.244,254.419,255.532,256.602,257.621,258.588,259.501,260.351,261.136,261.885,262.637,263.416,264.237,265.088,265.941,266.758,267.511,268.192,268.813,269.389,269.947,270.503,271.062,271.618,272.18,272.75,273.331
"British Virgin Islands",92,7.441,7.501,7.548,7.586,7.623,7.661,7.706,7.759,7.828,7.911,8.015,8.139,8.283,8.444,8.621,8.808,9.007,9.216,9.426,9.626,9.81,9.978,10.134,10.272,10.389,10.484,10.552,10.604,10.671,10.798,11.013,11.326,11.727,12.205,12.743,13.324,13.951,14.618,15.29,15.926,16.491,16.97,17.371,17.724,18.07,18.44,18.844,19.27,19.702,20.117,20.499,20.844,21.156,21.446,21.721,21.99,22.253,22.511,22.762,23.007,23.245
"Cayman Islands",136,6.413,6.265,6.247,6.335,6.508,6.742,7.015,7.307,7.595,7.862,8.092,8.277,8.418,8.524,8.612,8.701,8.787,8.875,9.002,9.216,9.545,10.004,10.581,11.253,11.99,12.764,13.578,14.432,15.29,16.11,16.861,17.524,18.116,18.702,19.366,20.172,21.141,22.253,23.475,24.752,26.048,27.363,28.71,30.074,31.437,32.792,34.096,35.361,36.704,38.284,40.195,42.501,45.117,47.815,50.273,52.268,53.712,54.679,55.295,55.763,56.23
"Cuba",192,5919.997,6049.922,6177.49,6300.986,6419.791,6534.381,6646.398,6758.582,6874.54,6998.378,7133.582,7281.821,7441.909,7609.348,7777.606,7941.84,8099.779,8252.314,8401.476,8550.671,8701.886,8855.989,9010.586,9160.532,9298.895,9420.828,9525.242,9614.061,9689.324,9754.343,9812.223,9862.283,9905.577,9949.046,10001.593,10069.187,10155.111,10256.694,10366.5,10473.701,10570.328,10654.121,10727.088,10790.686,10847.842,10900.795,10949.206,10992.29,11031.429,11068.382,11104.313,11140.168,11175.434,11208.029,11234.97,11254.242,11265.124,11268.687,11266.905,11262.628,11257.979
"Dominica",212,51.101,51.706,52.298,52.945,53.69,54.557,55.545,56.631,57.774,58.92,60.015,61.034,61.983,62.918,63.92,65.037,66.304,67.681,69.041,70.212,71.076,71.567,71.737,71.745,71.811,72.092,72.648,73.412,74.24,74.922,75.312,75.374,75.166,74.747,74.212,73.637,73.022,72.365,71.74,71.24,70.926,70.842,70.962,71.181,71.35,71.364,71.184,70.846,70.419,70.003,69.672,69.447,69.301,69.2,69.087,68.925,68.7,68.434,68.159,67.922,67.757
"Dominican Republic",214,2380.116,2453.032,2531.372,2614.665,2702.503,2794.531,2890.455,2990.035,3093.081,3199.436,3308.941,3421.385,3536.474,3653.809,3772.937,3893.484,4015.213,4137.994,4261.702,4386.255,4511.577,4637.627,4764.319,4891.5,5019.002,5146.742,5274.591,5402.683,5531.528,5661.827,5794.074,5928.429,6064.722,6202.698,6341.95,6482.152,6623.094,6764.75,6907.171,7050.48,7194.666,7339.826,7485.619,7631.076,7774.932,7916.309,8054.768,8190.62,8324.68,8458.164,8591.967,8726.256,8860.76,8995.398,9129.965,9264.267,9398.285,9531.954,9664.948,9796.852,9927.32
"Grenada",308,76.676,76.619,77.122,78.087,79.414,81.009,82.778,84.629,86.476,88.238,89.844,91.243,92.408,93.338,94.05,94.561,94.858,94.937,94.846,94.649,94.393,94.14,93.896,93.588,93.108,92.408,91.386,90.134,89.011,88.508,88.936,90.504,93.015,95.903,98.359,99.824,100.062,99.296,97.978,96.785,96.2,96.368,97.113,98.212,99.313,100.163,100.707,101.039,101.219,101.354,101.522,101.731,101.954,102.195,102.455,102.734,103.037,103.368,103.723,104.097,104.487
"Guadeloupe",312,209.999,213.099,217.331,222.672,229.031,236.253,244.112,252.317,260.525,268.369,275.526,281.8,287.188,291.91,296.326,300.691,305.052,309.291,313.303,316.932,320.063,322.773,325.123,326.97,328.124,328.514,328.008,326.826,325.673,325.493,326.951,330.293,335.282,341.489,348.247,355.037,361.79,368.563,375.102,381.13,386.465,390.937,394.606,397.815,401.061,404.7,408.845,413.372,418.11,422.791,427.214,431.337,435.222,438.895,442.413,445.814,449.103,452.253,455.247,458.057,460.666
"Haiti",332,3221.277,3275.552,3331.968,3390.63,3451.618,3514.984,3580.755,3648.93,3719.485,3792.367,3867.502,3944.791,4024.114,4105.331,4188.276,4272.76,4359.031,4446.944,4535.485,4623.315,4709.644,4794.158,4877.645,4961.817,5049.035,5141.143,5238.431,5340.812,5449.236,5564.724,5687.812,5819.084,5957.92,6102.119,6248.634,6395.193,6540.928,6686.182,6831.374,6977.397,7124.877,7273.53,7422.881,7573.16,7724.69,7877.569,8031.903,8187.204,8342.233,8495.358,8645.371,8791.931,8935.252,9075.399,9212.634,9347.262,9479.136,9608.453,9736.332,9864.241,9993.247
"Jamaica",388,1402.896,1436.715,1468.075,1496.181,1520.687,1541.708,1559.843,1576.146,1592.044,1609.187,1629.025,1652.348,1678.884,1707.126,1734.82,1760.4,1783.255,1804.079,1824.153,1845.371,1869.031,1895.729,1924.871,1955.153,1984.678,2012.156,2036.77,2059.107,2080.943,2104.823,2132.39,2164.601,2200.377,2236.865,2270.069,2297.232,2317.284,2331.427,2341.957,2352.279,2364.909,2380.447,2398.249,2418.08,2439.337,2461.516,2484.672,2508.867,2533.55,2558.003,2581.648,2604.321,2625.968,2646.269,2664.897,2681.653,2696.334,2709.042,2720.282,2730.774,2741.052
"Martinique",474,222.001,224.45,228.328,233.349,239.254,245.807,252.801,260.053,267.404,274.714,281.865,288.745,295.246,301.263,306.7,311.488,315.566,318.932,321.649,323.829,325.561,326.918,327.918,328.542,328.748,328.542,327.897,326.945,326.056,325.713,326.254,327.81,330.273,333.448,337.024,340.749,344.615,348.63,352.584,356.223,359.377,361.915,363.904,365.618,367.459,369.709,372.461,375.604,378.962,382.276,385.349,388.133,390.681,393.022,395.211,397.292,399.262,401.101,402.804,404.376,405.814
"Montserrat",500,13.521,14.118,14.481,14.616,14.54,14.285,13.89,13.411,12.908,12.451,12.095,11.877,11.793,11.802,11.834,11.839,11.806,11.754,11.693,11.644,11.622,11.626,11.646,11.68,11.723,11.77,11.821,11.875,11.917,11.931,11.906,11.837,11.727,11.592,11.446,11.307,11.165,11.013,10.871,10.769,10.714,10.746,10.842,10.883,10.707,10.21,9.329,8.137,6.832,5.697,4.931,4.608,4.66,4.962,5.322,5.599,5.76,5.845,5.876,5.895,5.934
"Netherlands Antilles",530,111.701,113.989,116.172,118.328,120.515,122.768,125.099,127.501,129.942,132.38,134.776,137.108,139.387,141.665,144.016,146.48,149.093,151.808,154.502,156.998,159.179,160.998,162.504,163.794,165.01,166.261,167.573,168.928,170.335,171.792,173.297,174.837,176.415,178.058,179.8,181.65,183.619,185.649,187.596,189.274,190.539,191.402,191.888,191.899,191.325,190.124,188.225,185.762,183.172,181.033,179.769,179.516,180.17,181.607,183.603,185.967,188.7,191.788,194.999,198.037,200.689
"Puerto Rico",630,2218,2210.078,2212.854,2222.12,2234.847,2249.173,2264.475,2281.304,2301.194,2326.357,2358.747,2399.064,2445.883,2495.284,2541.906,2582.056,2614.035,2639.363,2661.527,2685.678,2715.54,2751.922,2793.569,2839.615,2888.504,2938.911,2990.868,3044.298,3097.569,3148.633,3196.011,3239.084,3278.156,3313.869,3347.316,3379.401,3409.992,3439.048,3467.679,3497.297,3528.815,3562.523,3597.861,3633.785,3668.794,3701.618,3732.293,3760.658,3785.04,3803.374,3814.353,3817.231,3812.847,3803.48,3792.373,3781.986,3773.097,3765.404,3758.981,3753.576,3749.009
"Saint Kitts and Nevis",659,46.054,46.147,46.509,47.068,47.756,48.511,49.268,49.968,50.556,50.98,51.201,51.196,50.965,50.53,49.93,49.207,48.351,47.38,46.398,45.537,44.887,44.498,44.339,44.328,44.342,44.289,44.146,43.939,43.685,43.422,43.174,42.952,42.746,42.538,42.298,42.015,41.674,41.296,40.955,40.745,40.731,40.941,41.349,41.899,42.511,43.121,43.714,44.302,44.888,45.479,46.083,46.695,47.307,47.923,48.543,49.173,49.811,50.455,51.102,51.752,52.402
"Saint Lucia",662,82.783,83.898,84.828,85.605,86.266,86.851,87.403,87.968,88.594,89.33,90.213,91.264,92.48,93.83,95.264,96.738,98.263,99.834,101.385,102.825,104.101,105.169,106.064,106.905,107.857,109.038,110.501,112.203,114.053,115.915,117.691,119.337,120.897,122.463,124.172,126.116,128.336,130.776,133.315,135.777,138.042,140.056,141.863,143.551,145.255,147.067,149.022,151.079,153.172,155.204,157.108,158.859,160.491,162.055,163.631,165.275,167.002,168.793,170.624,172.458,174.267
"Saint Vincent and the Grenadines",670,67,68.065,69.265,70.587,72.014,73.52,75.073,76.636,78.165,79.614,80.948,82.144,83.207,84.167,85.076,85.973,86.863,87.741,88.623,89.527,90.465,91.445,92.463,93.507,94.556,95.591,96.609,97.611,98.59,99.539,100.45,101.316,102.135,102.915,103.669,104.402,105.123,105.819,106.465,107.016,107.449,107.755,107.95,108.051,108.089,108.087,108.049,107.979,107.907,107.869,107.891,107.987,108.15,108.354,108.566,108.755,108.918,109.06,109.178,109.269,109.333
"Trinidad and Tobago",780,635.999,647.638,661.131,677.445,697.015,719.735,744.934,771.405,797.503,821.324,841.21,856.289,866.959,875.083,883.421,893.922,907.34,922.942,939.413,954.771,967.658,977.679,985.548,992.348,999.65,1008.617,1019.403,1031.694,1045.6,1061.14,1078.2,1097.067,1117.461,1138.006,1156.858,1172.735,1185.012,1194.138,1201.224,1207.942,1215.494,1224.233,1233.753,1243.59,1253,1261.443,1268.851,1275.46,1281.396,1286.871,1292.058,1296.962,1301.576,1306.065,1310.622,1315.386,1320.418,1325.672,1331.04,1336.349,1341.465
"Turks and Caicos Islands",796,5.047,4.984,4.977,5.016,5.094,5.198,5.318,5.442,5.558,5.656,5.724,5.76,5.762,5.741,5.705,5.669,5.629,5.589,5.563,5.573,5.632,5.75,5.924,6.132,6.346,6.546,6.723,6.886,7.057,7.262,7.525,7.855,8.244,8.67,9.096,9.501,9.872,10.222,10.587,11.018,11.549,12.216,13.005,13.848,14.644,15.333,15.859,16.275,16.763,17.573,18.873,20.728,23.044,25.625,28.191,30.531,32.59,34.404,35.96,37.271,38.354
"United States Virgin Islands",850,26.795,27.295,27.974,28.613,29.088,29.362,29.498,29.65,30.045,30.96,32.632,35.178,38.513,42.314,46.122,49.61,52.624,55.278,57.831,60.675,64.07,68.102,72.61,77.31,81.802,85.79,89.169,92.008,94.399,96.498,98.423,100.216,101.827,103.177,104.146,104.668,104.698,104.319,103.761,103.333,103.253,103.618,104.356,105.315,106.26,107.018,107.546,107.903,108.132,108.316,108.511,108.726,108.933,109.122,109.27,109.363,109.401,109.389,109.327,109.216,109.056
"Central America",916,37889.037,38893.163,40018.814,41247.079,42561.686,43948.974,45398.001,46900.44,48450.389,50043.984,51678.32,53350.278,55055.507,56787.999,58541.3,60312.188,62093.684,63889.546,65720.373,67614.587,69591.238,71654.57,73793.754,75993.629,78232.004,80489.961,82767.504,85061.691,87347.313,89593.243,91779.191,93891.014,95938.785,97956.689,99993.809,102085.455,104241.892,106451.9,108702.971,110974.162,113249.09,115523.604,117799.627,120073.347,122341.482,124600.119,126851.189,129090.306,131300.389,133459.603,135554.673,137576.277,139534.973,141462.039,143401.092,145383.684,147419.384,149499.341,151613.799,153745.657,155880.99
"Belize",84,68.918,71.147,73.295,75.437,77.63,79.909,82.294,84.781,87.354,89.981,92.633,95.294,97.972,100.707,103.555,106.546,109.704,112.987,116.283,119.435,122.336,124.973,127.389,129.6,131.642,133.562,135.334,137.009,138.806,141.014,143.829,147.358,151.535,156.171,160.991,165.792,170.504,175.192,179.952,184.935,190.241,195.895,201.832,207.962,214.153,220.311,226.403,232.446,238.457,244.471,250.512,256.582,262.667,268.76,274.855,280.947,287.035,293.124,299.237,305.398,311.627
"Costa Rica",188,966.015,994.255,1025.278,1058.424,1093.226,1129.406,1166.887,1205.784,1246.366,1289.006,1334.004,1381.414,1430.88,1481.575,1532.386,1582.482,1631.723,1680.257,1727.922,1774.614,1820.379,1865.039,1908.913,1953.184,1999.429,2048.812,2101.762,2158.073,2217.457,2279.362,2343.345,2409.385,2477.549,2547.555,2619.058,2691.778,2765.657,2840.66,2916.566,2993.136,3070.24,3147.451,3224.849,3303.412,3384.498,3468.918,3557.095,3648.263,3740.578,3831.504,3919.18,4002.946,4083.197,4160.438,4235.605,4309.413,4381.82,4452.608,4522.124,4590.79,4658.887
"El Salvador",222,2199.897,2236.298,2278.493,2325.449,2376.483,2431.261,2489.824,2552.562,2620.149,2693.432,2773.095,2859.302,2951.387,3047.718,3146.076,3244.774,3342.957,3440.705,3538.389,3636.782,3736.311,3836.884,3937.757,4037.935,4136.133,4231.358,4323.383,4412.237,4497.535,4578.922,4656.263,4729.467,4798.918,4865.611,4930.893,4995.888,5060.307,5124.24,5189.565,5258.654,5332.842,5413.269,5498.489,5584.047,5663.82,5733.401,5791.403,5839.103,5878.097,5911.094,5940.305,5966.027,5988.233,6008.523,6028.792,6050.513,6074.487,6100.868,6129.628,6160.423,6192.993
"Guatemala",320,3146.073,3239.086,3333.591,3429.673,3527.441,3627.032,3728.613,3832.377,3938.54,4047.33,4158.956,4273.585,4391.307,4512.133,4636.016,4762.956,4892.812,5025.681,5162.058,5302.604,5447.687,5597.742,5752.386,5910.205,6069.254,6228.224,6386.403,6544.422,6703.955,6867.413,7036.484,7211.938,7393.131,7578.625,7766.291,7954.682,8143.365,8333.124,8525.211,8721.429,8923.131,9131.088,9345.13,9564.571,9788.284,10015.675,10246.429,10481.515,10723.154,10974.314,11237.101,11512.637,11800.351,12098.576,12404.764,12717.154,13034.904,13358.842,13690.846,14033.623,14388.929
"Honduras",340,1487.235,1524.916,1568.19,1615.241,1664.744,1715.862,1768.277,1822.159,1878.095,1936.957,1999.53,2066.098,2136.1,2207.969,2279.568,2349.455,2417.101,2483.231,2549.206,2617.017,2688.208,2763.122,2841.609,2924.118,3011.047,3102.649,3199.231,3300.735,3406.539,3515.736,3627.64,3741.932,3858.691,3978.08,4100.422,4225.87,4354.245,4485.151,4618.245,4753.109,4889.311,5026.843,5165.38,5303.798,5440.691,5575.099,5706.605,5835.607,5963.008,6090.164,6218.151,6347.272,6477.525,6609.337,6743.128,6879.243,7017.769,7158.819,7302.742,7449.923,7600.524
"Mexico",484,27865.814,28614.984,29465.877,30402.868,31412.046,32481.214,33599.909,34759.382,35952.533,37173.8,38418.829,39684.127,40966.751,42264.182,43574.687,44898.43,46229.966,47572.205,48943.844,50370.262,51868.335,53441.943,55081.201,56771.626,58492.118,60224.601,61969.362,63723.359,65461.471,67152.555,68776.411,70318.386,71788.766,73223.336,74673.296,76175.154,77741.11,79358.78,81010.093,82666.457,84306.602,85923.799,87523.328,89109.703,90691.331,92272.749,93858.373,95441.345,97001.933,98513.69,99959.594,101329.543,102634.153,103902.569,105175.967,106483.757,107835.259,109220.753,110627.158,112033.369,113423.047
"Nicaragua",558,1294.993,1331.28,1370.643,1413.03,1458.307,1506.256,1556.566,1608.844,1662.633,1717.451,1772.895,1828.75,1885.094,1942.338,2001.105,2061.878,2124.754,2189.679,2256.8,2326.261,2398.16,2472.476,2549.185,2628.337,2709.983,2794.083,2880.571,2969.183,3059.408,3150.596,3242.19,3334.287,3426.782,3518.721,3608.911,3696.667,3781.07,3862.724,3944.304,4029.509,4120.797,4219.176,4323.263,4430.182,4535.802,4637.04,4733.164,4824.799,4911.886,4994.73,5073.704,5148.635,5219.724,5288.271,5356.012,5424.336,5493.527,5563.654,5635.577,5710.23,5788.163
"Panama",591,860.092,881.197,903.447,926.957,951.809,978.034,1005.631,1034.551,1064.719,1096.027,1128.378,1161.708,1196.016,1231.377,1267.907,1305.667,1344.667,1384.801,1425.871,1467.612,1509.822,1552.391,1595.314,1638.624,1682.398,1726.672,1771.458,1816.673,1862.142,1907.645,1953.029,1998.261,2043.413,2088.59,2133.947,2179.624,2225.634,2272.029,2319.035,2366.933,2415.926,2466.083,2517.356,2569.672,2622.903,2676.926,2731.717,2787.228,2843.276,2899.636,2956.126,3012.635,3069.123,3125.565,3181.969,3238.321,3294.583,3350.673,3406.487,3461.901,3516.82
"South America",931,112394.799,115516.68,118758.619,122092.674,125500.544,128973.501,132513.054,136130.312,139844.272,143678.97,147654.822,151779.46,156039.671,160397.955,164802.284,169214.853,173624.295,178040.56,182473.704,186942.137,191461.153,196029.59,200646.995,205330.886,210103.381,214979.98,219963.35,225047.874,230229.436,235500.493,240851.903,246281.33,251779.311,257319.978,262870.675,268405.384,273914.457,279395.152,284837.609,290233.377,295577.387,300857.865,306075.404,311252.901,316423.104,321607.598,326811.152,332019.566,337211.77,342357.725,347432.96,352436.058,357365.953,362199.47,366908.906,371477.195,375889.454,380156.812,384320.716,388439.557,392554.963
"Argentina",32,17150.335,17506.378,17865.382,18223.955,18579.614,18930.778,19276.813,19617.988,19955.368,20290.62,20625.451,20961,21297.317,21633.126,21966.478,22296.628,22622.012,22944.941,23273.148,23616.971,23983.358,24376.109,24791.983,25222.223,25654.154,26078.731,26492.716,26899.177,27303.001,27711.808,28131.04,28561.561,29001.06,29447.973,29899.743,30354.24,30810.984,31269.799,31729.13,32187.173,32642.442,33093.579,33540.023,33982.035,34420.352,34855.16,35287.113,35714.929,36134.642,36541.029,36930.709,37302.116,37657.34,38001.251,38340.778,38681.174,39023.85,39368.066,39714.298,40062.47,40412.376
"Bolivia (Plurinational State of)",68,2713.63,2767.96,2824.538,2883.362,2944.416,3007.667,3073.07,3140.563,3210.075,3281.534,3354.895,3430.16,3507.408,3586.804,3668.568,3752.892,3839.751,3929.192,4021.551,4117.259,4216.572,4319.564,4426.012,4535.5,4647.442,4761.344,4877.275,4995.172,5114.274,5233.624,5352.649,5471.025,5589.245,5708.585,5830.816,5957.291,6088.253,6223.523,6363.47,6508.417,6658.462,6813.834,6974.168,7138.204,7304.23,7470.925,7637.622,7804.333,7971.237,8138.802,8307.248,8476.709,8646.659,8815.911,8982.917,9146.655,9306.66,9463.497,9618.466,9773.441,9929.849
"Brazil",76,53974.725,55669.001,57422.674,59215.974,61036.582,62879.616,64748.101,66652.501,68609.363,70639.029,72758.801,74975.656,77279.855,79642.214,82021.855,84388.983,86735.163,89068.235,91394.916,93727.99,96078.304,98445.131,100828.667,103242.395,105703.409,108224.08,110804.816,113442.106,116138.507,118895.875,121711.864,124588.432,127514.673,130459.023,133380.123,136246.764,139049.44,141791.325,144470.377,147088.677,149650.206,152146.887,154582.103,156985.824,159398.558,161848.162,164342.524,166869.168,169409.713,171936.271,174425.387,176877.135,179289.227,181633.074,183873.377,185986.964,187958.211,189798.07,191543.237,193246.61,194946.47
"Chile",152,6081.931,6194.334,6321.806,6461.332,6610.525,6767.613,6931.486,7101.654,7278.151,7461.373,7651.579,7848.372,8050.234,8254.329,8457.066,8655.738,8849.016,9037.026,9220.343,9400.225,9577.572,9752.949,9925.95,10095.485,10260.027,10418.88,10571.597,10719.748,10867.152,11018.91,11178.817,11348.442,11527.274,11714.442,11908.189,12107.225,12310.666,12518.93,12733.409,12956.088,13187.821,13429.315,13678.373,13929.39,14174.89,14409.416,14630.769,14840.038,15039.162,15231.557,15419.82,15604.2,15783.991,15959.793,16132.209,16301.726,16468.677,16633.254,16795.593,16955.737,17113.688
"Colombia",170,11999.6,12344.434,12697.334,13060.599,13436.142,13825.474,14229.713,14649.582,15085.424,15537.23,16004.714,16487.391,16984.652,17495.793,18019.927,18555.731,19104.02,19663.029,20225.83,20783.427,21329.811,21861.689,22381.887,22898.136,23421.644,23960.605,24517.307,25089.511,25675.364,26271.401,26874.906,27485.678,28104.254,28729.367,29359.535,29993.539,30630.754,31270.841,31913.25,32557.521,33203.321,33849.971,34497.319,35146.22,35797.965,36453.337,37112.621,37775.054,38439.099,39102.653,39764.166,40422.597,41078.136,41731.914,42385.712,43040.558,43696.54,44352.327,45005.782,45654.044,46294.841
